length,date,channel,category,brand,item,title,price,rating
4:22,01/11/12,Fast Food,Burger,McDonald's,Big Mac,Running On Empty -- Food Review -- McDonalds Part 2.,3,7
4:24,01/18/12,Fast Food,Chicken nuggets,McDonald's,Chicken McBites,Running On Empty -- Food Review -- McDonalds Part 3.,4.99,10
3:15,01/27/12,Fast Food,Burger,McDonald's,Angus Bacon and Cheese Burger,Running On Empty--Food Review--McDonalds Part 4,4,8
4:02,02/03/12,Fast Food,Chicken sandwich,McDonald's,McChicken Sandwich,Running On Empty--Food Review--McDonalds Part 5,1,9
4:02,02/03/12,Fast Food,Chicken tenders,McDonald's,3-pc Chicken Selects,Running On Empty--Food Review--McDonalds Part 5,3.49,9
4:47,02/11/12,Fast Food,BLT,McDonald's,Ranch BLT,Running On Empty--Food Review--McDonalds Part 6.,4,7.5
4:07,02/19/12,Fast Food,Burger,McDonald's,Angus Deluxe,Running On Empty--Food Review--McDonalds Part 7.,4,9
4:25,03/02/12,Fast Food,Fish sandwich,McDonald's,Filet-O-Fish,Running On Empty--Food Review--McDonalds Part 8.,3,7
5:41,03/24/12,Fast Food,Wrap,McDonald's,Angus Deluxe Snack Wrap,Running On Empty--Food Review--McDonalds Part 9.,1.99,7
5:00,03/31/12,Fast Food,Wrap,McDonald's,Chicken Snack Wrap,Running On Empty--Food Review--McDonalds Part 10.,2,9
5:00,03/31/12,Fast Food,Chicken sandwich,McDonald's,McChicken Sandwich,Running On Empty--Food Review--McDonalds Part 10.,1,9
3:16,04/06/12,Fast Food,Burger,McDonald's,Double Quarter Pounder,Running On Empty--Food Review--McDonalds Part 11.,3,8
4:22,08/06/12,Fast Food,Chicken wings,Planet Wings,10-pc Boneless Medium Wings,Running On Empty--Food Review--Planet Wings,6.99,10
5:19,12/01/12,Fast Food,Pizza (fresh),Domino's,Pan Pizza,Domino's Pan Pizza--Running On Empty--Food Review,8,8
5:19,12/01/12,Fast Food,Breadsticks,Domino's,Garlic breadsticks,Domino's Pan Pizza--Running On Empty--Food Review,6,8
4:20,12/18/12,Grocery,Pizza (frozen),Red Baron,Pepperoni Super Slice,Red Baron Super Slice - Pizza Review,5,10
8:36,01/19/13,Fast Food,Pizza (fresh),Domino's,Medium Pepperoni Pizza,Domino's Pizza Review - Running On Empty - Food Review,12.99,9
8:36,01/19/13,Fast Food,Chicken wings,Domino's,Wings,Domino's Pizza Review - Running On Empty - Food Review,12.99,9
10:14,04/23/13,Grocery,Slider,White Castle,Frozen sliders,White Castle (Frozen) -- Running On Empty -- Food Review,6,5.432
5:13,05/06/13,Grocery,Pizza (frozen),DiGiorno,Pizza Dipping Strips,DIGIORNO Dipping Strips -- Running On Empty -- Food Review,4.5,7.1
7:16,05/13/13,Fast Food,Fried chicken,KFC,Boneless Chicken,KFC Boneless Chicken -- Running On Empty -- Food Review,4.99,9
8:51,06/05/13,Grocery,Pizza (frozen),Red Baron,"Singles, Deep Dish Supreme Pizza",Red Baron Singles -- Running On Empty -- Food Review,5,9
7:14,06/15/13,Grocery,Chicken nuggets,Perdue,Popcorn Chicken,Perdue Popcorn Chicken -- Running On Empty -- Food Review,7.69,5
9:43,06/30/13,Fast Food,Chicken nuggets,KFC,Popcorn Chicken,KFC Popcorn Chicken & Wings -- Food Review,3.39,8
9:43,06/30/13,Fast Food,Chicken wings,KFC,Fiery Buffalo Wings,KFC Popcorn Chicken & Wings -- Food Review,3.39,6
8:57,07/16/13,Grocery,Pizza (frozen),DiGiorno,Stuffed Crust Pepperoni Personal Pizza,DIGIORNO Stuffed Crust -- Running On Empty -- Food Review,3.5,7
8:56,08/05/13,Fast Food,Burger,Five Guys,Bacon Burger,Five Guys -- Running On Empty -- Food Review,6,9.8
8:56,08/05/13,Fast Food,French fries,Five Guys,Cajun Fries,Five Guys -- Running On Empty -- Food Review,3,9.8
8:18,08/13/13,Fast Food,Sub sandwich,Subway,BLT,Subway BLT -- Running On Empty -- Food Review,5.99,6
6:13,08/28/13,Fast Food,Burger,Wendy's,Pretzel Bacon Cheeseburger,Wendy's Pretzel Burger -- Running On Empty -- Food Review,6,4
5:30,09/27/13,Fast Food,Chicken wings,McDonald's,10-pc Mighty Wings,McDonalds Mighty Wings -- Running On Empty -- Food Review,10,8
5:38,10/03/13,Fast Food,Chicken nuggets,Wendy's,Chicken Nuggets,Wendy's Chicken Nuggets -- Running On Empty -- Food Review,3,6
7:44,10/14/13,Fast Food,Pizza (fresh),Papa John's,Pepperoni Bacon Sausage Pizza,Papa Johns Pizza & Cookie -- Running On Empty -- Food Review,10,8
7:44,10/14/13,Fast Food,Cookie,Papa John's,Chocolate Chip Cookie Pie,Papa Johns Pizza & Cookie -- Running On Empty -- Food Review,10,6.5
3:24,10/26/13,Grocery,Fried chicken,T.G.I. Friday's,Honey BBQ Boneless Chicken,T.G.I Friday's Boneless Chicken -- Food Review,6,9
4:56,10/31/13,Grocery,Breadsticks,New York Bakery,Garlic Bread Sticks,New York Breadsticks -- Running On Empty -- Food Review,4,7
3:34,11/14/13,Fast Food,Burger,McDonald's,Bacon McDouble,McDonald's Bacon McDouble -- Running On Empty -- Food Review,2,8.5
5:44,11/18/13,Fast Food,Chicken sandwich,Wendy's,Pretzel Pub Chicken Sandwich,Wendy's Pretzel Pub Chicken -- Running On Empty -- Food Review,6,7
6:06,11/23/13,Fast Food,Burger,Planet Wings,Bacon Burger,Planet Wings Burger -- Running On Empty -- Food Review,5.49,9
5:06,12/02/13,Fast Food,Burger,Wendy's,Dave's Hot 'N Juicy,Wendy's Dave's Hot 'N Juicy -- Running On Empty -- Food Review,4.89,7
9:35,12/05/13,Fast Food,Chicken wings,Planet Wings,Suicidal Wings (10-ct boneless),Planet Wings Suicide Wings -- Running On Empty -- Food Review,7,9
6:00,12/10/13,Fast Food,Burger,McDonald's,"Quarter Pounder, Bacon & Cheese",Quarter Pounder Bacon & Cheese -- Running On Empty -- Food Review,4.79,8
5:30,12/18/13,Fast Food,Chicken wings,Planet Wings,Butter Garlic Wings (boneless),Planet Wings Butter Garlic Wings -- Running On Empty -- Food Review,7,7.9
4:27,12/23/13,Fast Food,Chicken tenders,KFC,Go Cups (with Extra Crispy Chicken Tenders),KFC Go Cups -- Running On Empty -- Food Review,2.4,8.7
4:34,12/28/13,Fast Food,Chicken sandwich,McDonald's,Bacon Buffalo Ranch McChicken Sandwich,Bacon Buffalo Ranch McChicken -- Running On Empty -- Food Review,2,6.1
5:07,01/03/14,Fast Food,Chicken wings,Planet Wings,Hot Wings (boneless),Planet Wings Hot Wings -- Running On Empty -- Food Review,7,8.34
3:58,01/07/14,Grocery,Pizza (frozen),Red Baron,"Singles, Thin Crust Pepperoni Pizza",Red Barons Singles Thin Crust -- Running On Empty -- Food Review,5,7.7
4:31,01/10/14,Fast Food,Chicken wings,Planet Wings,Classic BBQ chicken wings (boneless),Planet Wings Classic BBQ -- Running On Empty -- Food Review,7,8.1
9:40,01/13/14,Fast Food,Novelty,Taco Bell,Grilled Stuft Nacho,Taco Bell Grilled Stuft Nacho -- Food Review,1.89,1
9:31,01/17/14,Fast Food,Pizza (fresh),Domino's,MeatZZa Feast Pizza,Domino's MeatZZa Feast Pizza -- Running On Empty -- Food Review,24,8.1
9:31,01/17/14,Fast Food,Breadsticks,Domino's,Stuffed Cheesy Breadsticks,Domino's MeatZZa Feast Pizza -- Running On Empty -- Food Review,24,6
5:58,01/21/14,Fast Food,Chicken wings,Planet Wings,Cajun Wings (boneless),Cajun Wings & Curly Fries -- Running On Empty -- Food Review,4,7
5:58,01/21/14,Fast Food,French fries,Planet Wings,Curly Fries,Cajun Wings & Curly Fries -- Running On Empty -- Food Review,3,7
7:11,01/25/14,Grocery,Toaster pastry,Kellogg's,Cherry Pop Tarts,Cherry Pop Tarts -- Running On Empty -- Food Review,2.5,6.4
6:08,01/29/14,Fast Food,Chicken wings,Planet Wings,Honey BBQ wings (boneless),Planet Wings Honey BBQ -- Running On Empty -- Food Review,7,8.35
