id,region,subregion,country,my18,my19,mydelta,mypct,my100
84,Africa,Eastern Africa,Burundi,10.524,10.864,0.34,3.23,0.14
163,Africa,Eastern Africa,Comoros,0.832,0.851,0.019,2.23,0.01
160,Africa,Eastern Africa,Djibouti,0.959,0.974,0.015,1.53,0.01
133,Africa,Eastern Africa,Eritrea,3.453,3.497,0.044,1.28,0.05
12,Africa,Eastern Africa,Ethiopia,109.224,112.079,2.855,2.61,1.45
27,Africa,Eastern Africa,Kenya,51.393,52.574,1.181,2.3,0.68
51,Africa,Eastern Africa,Madagascar,26.262,26.969,0.707,2.69,0.35
62,Africa,Eastern Africa,Malawi,18.143,18.629,0.486,2.68,0.24
157,Africa,Eastern Africa,Mauritius[s],1.189,1.199,0.01,0.78,0.02
186,Africa,Eastern Africa,Mayotte (France),0.26,0.266,0.006,2.55,0.0
46,Africa,Eastern Africa,Mozambique,29.496,30.366,0.87,2.95,0.39
76,Africa,Eastern Africa,Rwanda,12.302,12.627,0.325,2.64,0.16
162,Africa,Eastern Africa,Réunion (France),0.883,0.889,0.006,0.73,0.01
200,Africa,Eastern Africa,Seychelles,0.097,0.098,0.001,0.66,0.0
73,Africa,Eastern Africa,Somalia,15.008,15.443,0.435,2.9,0.2
83,Africa,Eastern Africa,South Sudan,10.976,11.062,0.086,0.79,0.14
25,Africa,Eastern Africa,Tanzania[c],56.313,58.005,1.692,3.0,0.75
32,Africa,Eastern Africa,Uganda,42.729,44.27,1.541,3.61,0.57
65,Africa,Eastern Africa,Zambia,17.352,17.861,0.509,2.94,0.23
74,Africa,Eastern Africa,Zimbabwe,14.439,14.645,0.206,1.43,0.19
45,Africa,Middle Africa,Angola,30.81,31.825,1.015,3.3,0.41
54,Africa,Middle Africa,Cameroon,25.216,25.876,0.66,2.62,0.34
126,Africa,Middle Africa,Central African Republic,4.666,4.745,0.079,1.69,0.06
72,Africa,Middle Africa,Chad,15.478,15.947,0.469,3.03,0.21
118,Africa,Middle Africa,Congo,5.244,5.381,0.137,2.6,0.07
16,Africa,Middle Africa,DR Congo,84.068,86.791,2.723,3.24,1.13
154,Africa,Middle Africa,Equatorial Guinea,1.309,1.356,0.047,3.59,0.02
146,Africa,Middle Africa,Gabon,2.119,2.173,0.054,2.52,0.03
187,Africa,Middle Africa,São Tomé and Príncipe,0.211,0.215,0.004,1.91,0.0
34,Africa,Northern Africa,Algeria,42.228,43.053,0.825,1.95,0.56
14,Africa,Northern Africa,Egypt,98.424,100.388,1.964,2.0,1.3
109,Africa,Northern Africa,Libya,6.679,6.777,0.098,1.48,0.09
40,Africa,Northern Africa,Morocco,36.029,36.472,0.443,1.23,0.47
35,Africa,Northern Africa,Sudan,41.802,42.813,1.011,2.42,0.56
78,Africa,Northern Africa,Tunisia,11.565,11.695,0.13,1.12,0.15
170,Africa,Northern Africa,Western Sahara,0.567,0.582,0.015,2.65,0.01
145,Africa,Southern Africa,Botswana,2.254,2.304,0.05,2.2,0.03
159,Africa,Southern Africa,Eswatini,1.136,1.148,0.012,1.04,0.01
147,Africa,Southern Africa,Lesotho,2.108,2.125,0.017,0.8,0.03
143,Africa,Southern Africa,Namibia,2.448,2.495,0.047,1.89,0.03
24,Africa,Southern Africa,South Africa,57.793,58.558,0.765,1.33,0.76
77,Africa,Western Africa,Benin,11.485,11.801,0.316,2.75,0.15
59,Africa,Western Africa,Burkina Faso,19.751,20.321,0.57,2.89,0.26
172,Africa,Western Africa,Cape Verde,0.544,0.55,0.006,1.13,0.01
144,Africa,Western Africa,Gambia,2.28,2.348,0.068,2.97,0.03
48,Africa,Western Africa,Ghana,28.207,28.834,0.627,2.22,0.37
75,Africa,Western Africa,Guinea,12.414,12.771,0.357,2.88,0.17
150,Africa,Western Africa,Guinea-Bissau,1.874,1.921,0.047,2.49,0.02
53,Africa,Western Africa,Ivory Coast,25.069,25.717,0.648,2.58,0.33
123,Africa,Western Africa,Liberia,4.819,4.937,0.118,2.46,0.06
60,Africa,Western Africa,Mali,19.078,19.658,0.58,3.04,0.25
127,Africa,Western Africa,Mauritania,4.403,4.526,0.123,2.78,0.06
57,Africa,Western Africa,Niger,22.443,23.311,0.868,3.87,0.3
7,Africa,Western Africa,Nigeria,195.875,200.964,5.089,2.6,2.61
227,Africa,Western Africa,Saint Helena (United Kingdom)[y],0.006,0.006,0.0,0.4,0.0
71,Africa,Western Africa,Senegal,15.854,16.296,0.442,2.79,0.21
103,Africa,Western Africa,Sierra Leone,7.65,7.813,0.163,2.13,0.1
102,Africa,Western Africa,Togo,7.889,8.082,0.193,2.45,0.1
223,Americas,Caribbean,Anguilla (United Kingdom),0.015,0.015,0.0,0.94,0.0
201,Americas,Caribbean,Antigua and Barbuda,0.096,0.097,0.001,0.86,0.0
198,Americas,Caribbean,Aruba (Netherlands),0.106,0.106,0.0,0.44,0.0
178,Americas,Caribbean,Bahamas,0.386,0.389,0.003,1.0,0.01
182,Americas,Caribbean,Barbados,0.287,0.287,0.0,0.13,0.0
219,Americas,Caribbean,British Virgin Islands (United Kingdom),0.03,0.03,0.0,0.77,0.0
220,Americas,Caribbean,Caribbean Netherlands (Netherlands)[x],0.026,0.026,0.0,1.04,0.0
205,Americas,Caribbean,Cayman Islands (United Kingdom),0.064,0.065,0.001,1.21,0.0
81,Americas,Caribbean,Cuba,11.338,11.333,-0.005,-0.04,0.15
192,Americas,Caribbean,Curaçao (Netherlands),0.163,0.163,0.0,0.41,0.0
204,Americas,Caribbean,Dominica,0.072,0.072,0.0,0.26,0.0
85,Americas,Caribbean,Dominican Republic,10.627,10.739,0.112,1.05,0.14
195,Americas,Caribbean,Grenada,0.111,0.112,0.001,0.49,0.0
174,Americas,Caribbean,Guadeloupe (France)[v],0.447,0.448,0.001,0.22,0.01
82,Americas,Caribbean,Haiti,11.123,11.264,0.141,1.26,0.15
138,Americas,Caribbean,Jamaica,2.935,2.948,0.013,0.46,0.04
179,Americas,Caribbean,Martinique (France),0.376,0.376,0.0,-0.03,0.0
229,Americas,Caribbean,Montserrat (United Kingdom),0.005,0.005,0.0,-0.08,0.0
139,Americas,Caribbean,Puerto Rico (United States),3.04,2.933,-0.107,-3.49,0.04
211,Americas,Caribbean,Saint Kitts and Nevis,0.052,0.053,0.001,0.73,0.0
189,Americas,Caribbean,Saint Lucia,0.182,0.183,0.001,0.5,0.0
