|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Country/Territory                         | UN continentalregion[4] | UN statisticalsubregion[4] | Population(1 July 2018) | Population(1 July 2019) | Change |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| China[a]                                  | Asia                    | Eastern Asia               | 1,427,647,786           | 1,433,783,686           | +0.43% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| India                                     | Asia                    | Southern Asia              | 1,352,642,280           | 1,366,417,754           | +1.02% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| United States                             | Americas                | Northern America           | 327,096,265             | 329,064,917             | +0.60% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Indonesia                                 | Asia                    | South-eastern Asia         | 267,670,543             | 270,625,568             | +1.10% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Pakistan                                  | Asia                    | Southern Asia              | 212,228,286             | 216,565,318             | +2.04% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Brazil                                    | Americas                | South America              | 209,469,323             | 211,049,527             | +0.75% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Nigeria                                   | Africa                  | Western Africa             | 195,874,683             | 200,963,599             | +2.60% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Bangladesh                                | Asia                    | Southern Asia              | 161,376,708             | 163,046,161             | +1.03% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Russia                                    | Europe                  | Eastern Europe             | 145,734,038             | 145,872,256             | +0.09% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Mexico                                    | Americas                | Central America            | 126,190,788             | 127,575,529             | +1.10% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Japan                                     | Asia                    | Eastern Asia               | 127,202,192             | 126,860,301             | −0.27% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Ethiopia                                  | Africa                  | Eastern Africa             | 109,224,414             | 112,078,730             | +2.61% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Philippines                               | Asia                    | South-eastern Asia         | 106,651,394             | 108,116,615             | +1.37% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Egypt                                     | Africa                  | Northern Africa            | 98,423,598              | 100,388,073             | +2.00% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Vietnam                                   | Asia                    | South-eastern Asia         | 95,545,962              | 96,462,106              | +0.96% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| DR Congo                                  | Africa                  | Middle Africa              | 84,068,091              | 86,790,567              | +3.24% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Germany                                   | Europe                  | Western Europe             | 83,124,418              | 83,517,045              | +0.47% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Turkey                                    | Asia                    | Western Asia               | 82,340,088              | 83,429,615              | +1.32% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Iran                                      | Asia                    | Southern Asia              | 81,800,188              | 82,913,906              | +1.36% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Thailand                                  | Asia                    | South-eastern Asia         | 68,863,514              | 69,037,513              | +0.25% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| United Kingdom                            | Europe                  | Northern Europe            | 67,141,684              | 67,530,172              | +0.58% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| France[b]                                 | Europe                  | Western Europe             | 64,990,511              | 65,129,728              | +0.21% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Italy                                     | Europe                  | Southern Europe            | 60,627,291              | 60,550,075              | −0.13% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| South Africa                              | Africa                  | Southern Africa            | 57,792,518              | 58,558,270              | +1.33% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Tanzania[c]                               | Africa                  | Eastern Africa             | 56,313,438              | 58,005,463              | +3.00% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Myanmar                                   | Asia                    | South-eastern Asia         | 53,708,320              | 54,045,420              | +0.63% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Kenya                                     | Africa                  | Eastern Africa             | 51,392,565              | 52,573,973              | +2.30% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| South Korea                               | Asia                    | Eastern Asia               | 51,171,706              | 51,225,308              | +0.10% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Colombia                                  | Americas                | South America              | 49,661,048              | 50,339,443              | +1.37% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Spain[d]                                  | Europe                  | Southern Europe            | 46,692,858              | 46,736,776              | +0.09% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Argentina                                 | Americas                | South America              | 44,361,150              | 44,780,677              | +0.95% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Uganda                                    | Africa                  | Eastern Africa             | 42,729,036              | 44,269,594              | +3.61% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Ukraine[e]                                | Europe                  | Eastern Europe             | 44,246,156              | 43,993,638              | −0.57% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Algeria                                   | Africa                  | Northern Africa            | 42,228,408              | 43,053,054              | +1.95% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Sudan                                     | Africa                  | Northern Africa            | 41,801,533              | 42,813,238              | +2.42% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Iraq                                      | Asia                    | Western Asia               | 38,433,600              | 39,309,783              | +2.28% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Afghanistan                               | Asia                    | Southern Asia              | 37,171,921              | 38,041,754              | +2.34% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Poland                                    | Europe                  | Eastern Europe             | 37,921,592              | 37,887,768              | −0.09% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Canada                                    | Americas                | Northern America           | 37,074,562              | 37,411,047              | +0.91% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Morocco                                   | Africa                  | Northern Africa            | 36,029,093              | 36,471,769              | +1.23% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Saudi Arabia                              | Asia                    | Western Asia               | 33,702,756              | 34,268,528              | +1.68% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Uzbekistan                                | Asia                    | Central Asia               | 32,476,244              | 32,981,716              | +1.56% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Peru                                      | Americas                | South America              | 31,989,260              | 32,510,453              | +1.63% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Malaysia[f]                               | Asia                    | South-eastern Asia         | 31,528,033              | 31,949,777              | +1.34% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Angola                                    | Africa                  | Middle Africa              | 30,809,787              | 31,825,295              | +3.30% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Mozambique                                | Africa                  | Eastern Africa             | 29,496,004              | 30,366,036              | +2.95% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Yemen                                     | Asia                    | Western Asia               | 28,498,683              | 29,161,922              | +2.33% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Ghana                                     | Africa                  | Western Africa             | 28,206,728              | 28,833,629              | +2.22% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Nepal                                     | Asia                    | Southern Asia              | 28,095,714              | 28,608,710              | +1.83% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Venezuela                                 | Americas                | South America              | 28,887,118              | 28,515,829              | −1.29% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Madagascar                                | Africa                  | Eastern Africa             | 26,262,313              | 26,969,307              | +2.69% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| North Korea                               | Asia                    | Eastern Asia               | 25,549,604              | 25,666,161              | +0.46% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Ivory Coast                               | Africa                  | Western Africa             | 25,069,230              | 25,716,544              | +2.58% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
| Cameroon                                  | Africa                  | Middle Africa              | 25,216,267              | 25,876,380              | +2.62% |
|-------------------------------------------|-------------------------|----------------------------|-------------------------|-------------------------|--------|
