id,country,my19,gdppc,mypct
4,Afghanistan,38.042,0.47,2.34
8,Albania,2.881,5.303,-0.06
12,Algeria,43.053,3.975,1.95
16,American Samoa (United States),0.055,15.345,-0.28
20,Andorra,0.077,40.961,0.18
24,Angola,31.825,2.671,3.3
660,Anguilla (United Kingdom),0.015,25.267,0.94
28,Antigua and Barbuda,0.097,17.124,0.86
32,Argentina,44.781,10.041,0.95
51,Armenia,2.958,4.622,0.2
533,Aruba (Netherlands),0.106,31.066,0.44
36,Australia[g],25.203,54.764,1.23
40,Austria,8.955,49.701,0.72
31,Azerbaijan[k],10.048,4.782,0.99
44,Bahamas,0.389,34.905,1
48,Bahrain,1.641,23.506,4.57
50,Bangladesh,163.046,1.846,1.03
52,Barbados,0.287,18.15,0.13
112,Belarus,9.452,6.674,0
56,Belgium,11.539,46.2,0.5
84,Belize,0.39,4.887,1.9
204,Benin,11.801,1.22,2.75
60,Bermuda (United Kingdom),0.063,116.841,-0.4
64,Bhutan,0.763,3.36,1.15
68,Bolivia,11.513,3.552,1.41
70,Bosnia and Herzegovina,3.301,6.108,-0.69
72,Botswana,2.304,7.96,2.2
76,Brazil,211.05,8.755,0.75
92,British Virgin Islands (United Kingdom),0.03,43.2,0.77
96,Brunei,0.433,31.106,1.01
100,Bulgaria,7,9.704,-0.73
854,Burkina Faso,20.321,0.787,2.89
108,Burundi,10.864,0.276,3.23
116,Cambodia,16.487,1.644,1.46
120,Cameroon,25.876,1.502,2.62
124,Canada,37.411,46.55,0.91
132,Cape Verde,0.55,3.602,1.13
136,Cayman Islands (United Kingdom),0.065,92.615,1.21
140,Central African Republic,4.745,0.468,1.69
148,Chad,15.947,0.707,3.03
152,Chile,18.952,14.896,1.19
156,China[a],1433.784,10.004,0.43
170,Colombia,50.339,6.432,1.37
174,Comoros,0.851,1.369,2.23
178,Congo,5.381,2.304,2.6
184,Cook Islands (New Zealand),0.018,21.056,0.17
188,Costa Rica,5.048,12.237,0.96
191,Croatia,4.13,14.628,-0.63
192,Cuba,11.333,9.296,-0.04
531,Curaçao (Netherlands),0.163,19.025,0.41
196,Cyprus[t],1.18,20.818,0.81
203,Czech Republic,10.689,23.452,0.22
208,Denmark,5.772,60.656,0.34
262,Djibouti,0.974,3.251,1.53
212,Dominica,0.072,8.083,0.26
214,Dominican Republic,10.739,8.282,1.05
180,DR Congo,86.791,0.545,3.24
626,East Timor,1.293,1.56,1.98
218,Ecuador,17.374,6.184,1.69
818,Egypt,100.388,3.161,2
222,El Salvador,6.454,4.187,0.51
226,Equatorial Guinea,1.356,8.13,3.59
232,Eritrea,3.497,0.566,1.28
233,Estonia,1.326,23.734,0.21
748,Eswatini,1.148,4.002,1.04
231,Ethiopia,112.079,0.828,2.61
583,F.S. Micronesia,0.114,3.632,1.04
242,Fiji,0.89,6.184,0.73
246,Finland[n],5.532,48.68,0.17
250,France[b],65.13,41.694,0.21
258,French Polynesia (France),0.279,21.588,0.58
266,Gabon,2.173,7.771,2.52
270,Gambia,2.348,0.776,2.97
268,Georgia[r],3.997,4.439,-0.15
276,Germany,83.517,46.232,0.47
288,Ghana,28.834,2.324,2.22
300,Greece,10.473,19.605,-0.46
304,Greenland (Denmark),0.057,53.035,0.19
308,Grenada,0.112,10.812,0.49
320,Guatemala,17.581,4.363,1.93
324,Guinea,12.771,0.967,2.88
624,Guinea-Bissau,1.921,0.688,2.49
328,Guyana,0.783,6.607,0.48
332,Haiti,11.264,0.715,1.26
340,Honduras,9.746,2.575,1.65
344,Hong Kong (China)[m],7.436,49.181,0.87
348,Hungary,9.685,16.879,-0.24
352,Iceland,0.339,71.351,0.69
356,India,1366.418,2.116,1.02
