Year,World,Africa,Asia,Europe,L_America,N_America,Oceania
1950,2525,229,1394,549,169,172,12
1955,2758,254,1534,577,193,187,13
1960,3018,285,1687,606,221,204,15
1965,3322,322,1875,635,254,219,17
1970,3682,366,2120,657,288,231,20
1975,4061,416,2378,677,326,242,22
1980,4440,478,2626,694,365,254,23
1985,4853,550,2897,708,406,267,25
1990,5310,632,3202,721,447,281,27
1995,5735,720,3475,728,487,296,29
2000,6127,814,3714,726,527,314,32
2005,6520,920,3945,729,564,329,33
2010,6930,1044,4170,735,600,344,37
2015,7349,1186,4393,738,634,358,40
2020,7795,1341,4641,748,654,369,42
2025,8184,1509,4823,746,682,380,44
2030,8549,1688,4974,741,706,391,49
2035,8888,1878,5096,735,726,401,52
2040,9199,2077,5189,728,742,410,53
2045,9482,2282,5253,720,754,418,55
2050,9735,2489,5290,711,762,425,58
2055,9958,2698,5302,700,767,432,59
2060,10152,2905,5289,689,768,439,62
2065,10318,3109,5256,677,765,447,64
2070,10459,3308,5207,667,759,454,64
2075,10577,3499,5143,657,750,461,67
2080,10674,3681,5068,650,739,468,68
2085,10750,3851,4987,643,726,474,69
2090,10810,4008,4901,638,711,479,73
2095,10852,4152,4812,634,696,485,73
2100,10875,4280,4719,630,680,491,75
